trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,-100,-642.5940902771889,"{0: 80, 1: 9, 2: 23, 3: 2, 4: 11}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-100,-571.2691831146926,"{0: 69, 1: 13, 2: 30, 3: 1, 4: 7}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-100,-495.55090257025637,"{0: 83, 1: 14, 2: 16, 3: 5, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-84,-548.568578298522,"{0: 63, 1: 8, 2: 22, 3: 3, 4: 8}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-4,-52.14371683910323,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,5,-1.7672873367952626,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-57,-468.38128307944356,"{0: 44, 1: 4, 2: 26, 3: 3, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,-52,-435.74807359649844,"{0: 43, 1: 11, 2: 21, 3: 2, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-6,-68.49047910193109,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,-100,-572.021317589264,"{0: 84, 1: 9, 2: 18, 3: 5, 4: 9}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-12,-106.61064542538386,"{0: 16, 1: 7, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-100,-356.30782087495857,"{0: 87, 1: 14, 2: 17, 3: 2, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,-100,-882.1779661224004,"{0: 71, 1: 14, 2: 22, 3: 2, 4: 16}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,-100,-661.4434362218332,"{0: 85, 1: 11, 2: 23, 3: 7, 4: 9}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,-100,-503.1232675000118,"{0: 85, 1: 10, 2: 18, 3: 4, 4: 8}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,1,-56.54925568609444,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,-100,-627.9882508660012,"{0: 85, 1: 8, 2: 15, 3: 6, 4: 11}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,-82,-389.09454813561774,"{0: 66, 1: 10, 2: 19, 3: 2, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,-68,-478.37908309156364,"{0: 53, 1: 11, 2: 20, 3: 3, 4: 6}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,-96,-465.20260292920887,"{0: 85, 1: 6, 2: 20, 3: 2, 4: 8}",0
1,True,"{'a': 0, 'e': 0}",25,-100,-756.493668474486,"{0: 75, 1: 12, 2: 21, 3: 4, 4: 13}",0
2,True,"{'a': 0, 'e': 0}",20,-100,-450.3788768851562,"{0: 83, 1: 7, 2: 20, 3: 3, 4: 7}",0
3,True,"{'a': 0, 'e': 0}",20,-100,-491.6001271430212,"{0: 66, 1: 19, 2: 28, 3: 3, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,-100,-587.2539711646539,"{0: 73, 1: 10, 2: 23, 3: 8, 4: 6}",0
5,True,"{'a': 0, 'e': 0}",30,-100,-740.0525731941275,"{0: 79, 1: 15, 2: 18, 3: 6, 4: 12}",0
6,True,"{'a': 0, 'e': 0}",25,-100,-693.2252345483175,"{0: 75, 1: 11, 2: 25, 3: 3, 4: 11}",0
7,True,"{'a': 0, 'e': 0}",20,-100,-717.703545501702,"{0: 59, 1: 13, 2: 35, 3: 7, 4: 6}",0
8,True,"{'a': 0, 'e': 0}",25,-100,-590.5083654268666,"{0: 82, 1: 5, 2: 26, 3: 3, 4: 9}",0
9,True,"{'a': 0, 'e': 0}",20,-70,-283.848430933138,"{0: 63, 1: 7, 2: 14, 3: 2, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",30,-100,-825.7582050004287,"{0: 77, 1: 11, 2: 22, 3: 7, 4: 13}",0
